,Actress_Name,actress_link,Available_photos,Available_videos,Rank,Profile_views,Video_views,Subscribers,Country,Age,Eye,Hair,Height,Weight,Cup,Measurements,Alias,Official_website,Twitter,Instagram,Bio
0,Riley Reid,https://www.eporner.com/pornstar/riley-reid/,3723,2028,1,7691594,66108232,494,United States,31,Green,Brown,"163 cm / 5'4""",52 kg / 114 lbs,A,32A-25-36,"Molly,Paige Riley,Reily Reid,Riley ATK,Riley FTV,Riley Fuckedhard18,Riley Karups,Riley Reed",https://www.ReidMyLips.com/,https://twitter.com/rileyreidx3,https://www.instagram.com/baconbootyy,"Riley Reid is definitely a famous name. Even people who don’t consume a lot of porn know who she is. Her real name is Ashely Matthews, and her birthday was on July 9th, 1991. Before she started work in the porn industry, she was a stripper in Miami Beach, Florida, United States, which is also where she was born. The first adult film she was in was also her first interracial sex scene. She is caucasian and has beautiful green eyes, and stands at 5’4’’. Her long brown hair flows down her back. She is an A cup, and her body measurements are 32A -25-36. Her career is quite successful, and she now has her own line of sex toys, including several fleshlights. She also has her own website, reidmylips.com. She was once a victim of intense cyberbullying, and she said that the event changed the way she viewed social media."
1,Angela White,https://www.eporner.com/pornstar/angela-white/,712,713,2,6120252,49930476,519,Australia,37,Blue,Brown,"160 cm / 5'3""",55 kg / 121 lbs,G,42G-27-41,"Angela,Angie",http://angelawhite.com/,https://twitter.com/angelawhite,https://instagram.com/theangelawhite,"We love all of our ladies here in the US, but sometimes we have to shake it up a bit and visit another country if we want to satisfy a craving we have had for a while truly. And one of our favorite overseas ladies is Angela White. Born in the wild and untameable Australia, she has blue eyes, brown hair, and her breast size is a massive G. Her measurements are 42G-37-41. Talk about curvaceous! She weighs only 121lbs, and she was born on March 4th, 1985. White is an extremely successful woman and is even inducted into the AVN Hall of Fame. Not only that, she has won the AVN Best Female Performer of the Year award three times! That’s unheard of! White started working in the adult film industry all the way back in 2003, and she has many titles starring her. She also became a Fleshlight Girl in 2014."
2,Adriana Chechik,https://www.eporner.com/pornstar/adriana-chechik-UcNbr/,1036,996,3,5782267,51684473,412,USA,30,Green,Brown,"160 cm / 5'3""",51 kg / 112 lbs,B,34B-24-33,"Adriana Chechick,Adriana Fuckedhard18,Arianna FTV",https://onlyfans.com/adrianachechik,https://twitter.com/adrianachechik,https://instagram.com/bratnasty69,"With such a name, you many think she was born in a Slavic country, but no, Chechik was born in the US on November 4th, 1991, and started working in the adult industry in 2013. One of the biggest awards she received in the last five years was AVN’s Award for Most Outrageous Sex Scene, and she also won Best Virtual Reality Sex Scene a few years later. She is a B cup, and her measurements are 34B-24-33. Dezarae Kristina Charles is her real name, and she dropped out of high for a while but later received her GED. Although she does dye her hair from time to time, she actually has brown hair and bright green eyes. Her ethnicity is caucasian, and her weight is only 112lb, despite her height, which is 5’2’’. Adriana is widely known for her wild scenes in gangbang and anal film, as her first gangbang film was in 2014."
3,Ava Addams,https://www.eporner.com/pornstar/ava-addams-IBUnX/,190,480,4,6160561,47632009,396,France,43,Brown,Brunette,"160 cm / 5'3""",48 kg / 106 lbs,DD,32DD-23-34,"Alexia Roy,Ava A Sapphic,Ava Adams,Ava Spice,Luna FTV",https://onlyfans.com/AvaAddams,https://twitter.com/avaaddams,https://instagram.com/theavaaddams,"This adult actress may be a bit older, as she was born in 1979, but she can still hold on to the viewer’s attention. Born on September 16th, Addams is a British adult actress who speaks fluent french. She moved to Houston, Texas, and grew up wanting to be a model. Her break into the industry started at a later age for her because she was 29. Since debuting in 2008, she has starred in over 610 films and scenes! Wow, that’s amazing! Addams has brown hair and brown eyes, her height is 5’7’’, and she weighs only 121lbs. Her breasts are a C cup, and her measurements are 34C-24-36. In 2017, Addams was nominated for the Best Sex Group scene. In 2016, Addams debuted in her first-ever gangbang film, and it received many great reviews. In 2018, Addams received a nomination for Best Hottest MilF, which is a fan award."
4,Valentina Nappi,https://www.eporner.com/pornstar/valentina-nappi/,1569,458,5,5657544,41798317,357,Italy,32,Hazel,Brown,"157 cm / 5'2""",50 kg / 111 lbs,B,34B-25-34,"Naomi Vallentina,Valentina,Valentina N Joymii,Valentina Noon",https://onlyfans.com/valenappi,https://twitter.com/valenappi,https://instagram.com/instavalentinanappi,"If you ever feel like searching the internet for hot Italian girls, check out Valentine Nappi. Her birth city was in Campania, Italy, and her birthday was November 6th, 1990. She has an art degree, which she earned in 2013. During college, she decided to appear in adult films and started in 2011. Nappi doesn’t mind doing scenes with both men and women because she identifies as a pansexual. By November 2013, she was Penthouse Pet of the month. She is a caucasian female with brown hair and hazel eyes, and her height is 5’2’’. She weighs only 111lbs, and her measurements are 34B-25-34. Nappi is a B cup. She may be in the adult film industry now, but she made sure that her college degree did not go to waste. Nappi has written several essays on society and what men and women’s roles are. She also writes political pieces for a magazine called Micromega."
5,Mia Malkova,https://www.eporner.com/pornstar/mia-malkova/,1517,409,6,5320737,39963849,356,United States,30,Green,Blonde,"170 cm / 5'7""",59 kg / 130 lbs,C,34C-26-36,"Jessica FTV,Madison Allure,Madison Clover,Madison Swan,Mia Bliss,Mia Fuckedhard18,Mia M X Art",http://miamalkova.tv,https://twitter.com/miamalkova,https://instagram.com/mia_malkova,"If you don’t know who Mia Malkova is, man, you are missing out! She is a caucasian adult actress who was born in the US, and she has blond hair and green eyes. Her family has German and Irish as their backgrounds. She is also taller than the average woman as her height is 5’7’’ while her weight is a healthy 130lbs. Currently, she is a C cup, and her measurements are 32C-26-36. Mia started working in the adult entertainment industry when she was 18. She was tired of working at restaurants and fast-food jobs like McDonald’s and wanted to have sex on camera because she loves sex in all its forms. Mia streams on twitch often, but the platform does not allow any adult entertainment of any kind. Mia also enjoys appearing in music videos. In 2014, she won an award titled “Best All-girl group sex scene.”"
6,Lana Rhoades,https://www.eporner.com/pornstar/lana-rhoades-ewQzS/,1794,561,7,5421369,39767000,517,USA,26,Blue,Brown,"162 cm / 5'4""",51 kg / 112 lbs,34D,35-23-37,,http://www.buttsnvlogs.com,https://twitter.com/lanarhoades,https://instagram.com/lanarhoades,"When she was eighteen - she sent an application to an porn agency to start play in porn movies, but her mother found out and din't let her do it. So Lana Rhoades must wait until 2016 and finally start her career. She is best known as pornstar playing in sensitive, hot striptease scene, but also hardcore, facial and threesom videos. Lana Rhoades was only one year in industry when she decided to play anal scene. Lana comes from a religious family. She love bodybuilder with strong athletic silhuette."
7,Nicole Aniston,https://www.eporner.com/pornstar/nicole-aniston-BtLDs/,220,174,8,5403479,39571621,247,United States,35,Green,Blonde,"160 cm / 5'3""",59 kg / 130 lbs,D,34D-24-36,Ashley Nicole,https://www.NicoleAniston.com/,https://twitter.com/XNicoleAnistonX,https://instagram.com/realnicoleaniston,"If you want to see a few sexy scenes and films with a classical California blonde, then you need to check out Nicole Aniston’s videos. You will not be disappointed! Born on September 9th, 1987, in the United States, Nicole is a green-eyes blonde Caucasian woman whose height matches many other women in the adult film industry because she is 5’3’’. Her cup size is a D, and her measurements are 34D-24-36, which is quite voluptuous! And she has the body to prove it because her weight is only 130lbs! She was born in San Diego, California, and started working in the adult film industry in 2009, and by 2012, she was modeling for Penthouse. Her website is nicoleaniston.com, and her sites have all of her best works available to view and to purchase. This beautiful woman was the lucky winner of the 2013 Penthouse Pet of the Year."
8,Brandi Love,https://www.eporner.com/pornstar/brandi-love/,717,1355,9,5171968,37641387,294,USA,49,Hazel,Brown,"170 cm / 5'7""",57 kg / 125 lbs,D,36D-25-36,Tracey Petoskey,http://www.brandilove.com/,https://twitter.com/brandi_love,https://instagram.com/brandi_love,"With brown hair and hazel eyes, it is no wonder how Ms. Love can walk around outside without men throwing themselves at her. Brandi was born on March 30, 1973. Unlike other women who start at 19-20, Brandi did not start working in the adult industry until she was 35. But before she started working in adult films, she tried to open her own studio called Naked Rhino Media. She found immediate success in the MILF and Hot Wife categories and launched her own website, where she sells many of her films. Also, people can also pay to request a private show for a fee and she has found a lot of success with this idea.. Her cup size is a D, and her measurements are 36D-25-36. Brandi has always been open about sex and sexuality and has never shied away from the topic. She even wrote and published a book about conservative women and sex."
9,Abella Danger,https://www.eporner.com/pornstar/abella-danger-OKXqw/,2382,674,10,4464169,42037517,462,USA,26,Brown,Brown,"162 cm / 5'4""",57 kg / 126 lbs,34C,34-25-38,,,https://twitter.com/abella_danger,https://instagram.com/dangershewrote,"Her true name is Mabel Manriquez is adult model and porn star of Jewish and Ukrainian descent. Abella Danger lost her virginity when she was 16 years by a her best friend and that event eventually led to her becoming a pornstar. Abella Danger started of at BangBros in 2014. ome of the notable companies Belle has appeared in are Evil Angel, 3rd Degree, Digital Sin, Bang Productions, New Sensations, Jules Jordan Video, and West Coast Productions. She like to play in masturbation (by hand or dildo) movies, but sometimes she does fisting and brutal anal (even double penetration). Privately, he's very fond of bondage."
